"","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"1","CC_S26_R3",0,30,0.163633385761882,"COL","f",0.848978221416473,628.773864746094,6.66294002532959,0.208581998944283,40,0.501628994941711,-0.511541724205017,0.256669461727142,0.487192213535309,0.254202455282211,0.200870826840401,0.950033247470856,1.05259478092194,0.192865610122681,0.0256235357373953,-0.517786502838135,"continental glacial outwash, Fraser-age","Pleistocene"
"2","CC_S26_R3",30,60,0.0982778904943272,"COL","f",0.848978221416473,628.773864746094,6.66294002532959,0.208581998944283,40,0.501628994941711,-0.511541724205017,0.256669461727142,0.487192213535309,0.254202455282211,0.200870826840401,0.950033247470856,1.05259478092194,0.192865610122681,0.0256235357373953,-0.517786502838135,"continental glacial outwash, Fraser-age","Pleistocene"
"3","CC_S26_R3",60,100,0.0531349294383496,"COL","f",0.848978221416473,628.773864746094,6.66294002532959,0.208581998944283,40,0.501628994941711,-0.511541724205017,0.256669461727142,0.487192213535309,0.254202455282211,0.200870826840401,0.950033247470856,1.05259478092194,0.192865610122681,0.0256235357373953,-0.517786502838135,"continental glacial outwash, Fraser-age","Pleistocene"
"4","CC_S27_R3",0,30,0.612629737539834,"COL","i",0.502378821372986,664.216674804688,6.02921533584595,0.12714672088623,56,0.746249437332153,-0.558785915374756,0.39188140630722,0.616974174976349,0.383860468864441,0.144930198788643,0.59257036447525,1.68756330013275,0.362428665161133,0.255831480026245,-0.64664876461029,"continental glacial outwash, Fraser-age","Pleistocene"
"5","CC_S27_R3",30,60,0.693572347892259,"COL","i",0.502378821372986,664.216674804688,6.02921533584595,0.12714672088623,56,0.746249437332153,-0.558785915374756,0.39188140630722,0.616974174976349,0.383860468864441,0.144930198788643,0.59257036447525,1.68756330013275,0.362428665161133,0.255831480026245,-0.64664876461029,"continental glacial outwash, Fraser-age","Pleistocene"
"6","CC_S27_R3",60,100,0.0972590502395822,"COL","i",0.502378821372986,664.216674804688,6.02921533584595,0.12714672088623,56,0.746249437332153,-0.558785915374756,0.39188140630722,0.616974174976349,0.383860468864441,0.144930198788643,0.59257036447525,1.68756330013275,0.362428665161133,0.255831480026245,-0.64664876461029,"continental glacial outwash, Fraser-age","Pleistocene"
"7","CC_S3_R3",0,30,0.406818143713218,"COL","i",0.615643739700317,622.542236328125,6.85989570617676,0.88662326335907,17,0.760972678661346,-0.564808011054993,0.513610422611237,0.648071348667145,0.4858418405056,0.171748891472816,0.606329083442688,1.64926934242249,0.338045299053192,0.245074883103371,-0.656960427761078,"alluvium","Quaternary"
"8","CC_S3_R3",30,60,0.130816765892891,"COL","i",0.615643739700317,622.542236328125,6.85989570617676,0.88662326335907,17,0.760972678661346,-0.564808011054993,0.513610422611237,0.648071348667145,0.4858418405056,0.171748891472816,0.606329083442688,1.64926934242249,0.338045299053192,0.245074883103371,-0.656960427761078,"alluvium","Quaternary"
"9","CC_S3_R3",60,100,0.0537245152948459,"COL","i",0.615643739700317,622.542236328125,6.85989570617676,0.88662326335907,17,0.760972678661346,-0.564808011054993,0.513610422611237,0.648071348667145,0.4858418405056,0.171748891472816,0.606329083442688,1.64926934242249,0.338045299053192,0.245074883103371,-0.656960427761078,"alluvium","Quaternary"
"10","CC_S6_R2",0,30,0.201553147336582,"COL","j",0.674413979053497,622.542236328125,6.85989570617676,0.805264294147491,10,0.661809504032135,-0.57304435968399,0.391135454177856,0.609520554542542,0.38804617524147,0.260076463222504,0.831847667694092,1.20214319229126,0.291827768087387,0.0917938500642776,-0.608035326004028,"alluvium","Quaternary"
"11","CC_S6_R2",30,60,0.0716314595807564,"COL","j",0.674413979053497,622.542236328125,6.85989570617676,0.805264294147491,10,0.661809504032135,-0.57304435968399,0.391135454177856,0.609520554542542,0.38804617524147,0.260076463222504,0.831847667694092,1.20214319229126,0.291827768087387,0.0917938500642776,-0.608035326004028,"alluvium","Quaternary"
"12","CC_S6_R2",60,100,0.0550188950555968,"COL","j",0.674413979053497,622.542236328125,6.85989570617676,0.805264294147491,10,0.661809504032135,-0.57304435968399,0.391135454177856,0.609520554542542,0.38804617524147,0.260076463222504,0.831847667694092,1.20214319229126,0.291827768087387,0.0917938500642776,-0.608035326004028,"alluvium","Quaternary"
"13","CC-07-R1",0,30,0.450964035483529,"COL","i",0.494373559951782,632.814514160156,6.884840965271,0.738847315311432,47,0.802488386631012,-0.554767906665802,0.498160779476166,0.656370282173157,0.475711107254028,0.141129449009895,0.530146360397339,1.8862715959549,0.333267599344254,0.307064533233643,-0.676955580711365,"alluvium","Quaternary"
"14","CC-07-R1",30,60,0.372899947072434,"COL","i",0.494373559951782,632.814514160156,6.884840965271,0.738847315311432,47,0.802488386631012,-0.554767906665802,0.498160779476166,0.656370282173157,0.475711107254028,0.141129449009895,0.530146360397339,1.8862715959549,0.333267599344254,0.307064533233643,-0.676955580711365,"alluvium","Quaternary"
"15","CC-07-R1",60,100,0.0147628382515113,"COL","i",0.494373559951782,632.814514160156,6.884840965271,0.738847315311432,47,0.802488386631012,-0.554767906665802,0.498160779476166,0.656370282173157,0.475711107254028,0.141129449009895,0.530146360397339,1.8862715959549,0.333267599344254,0.307064533233643,-0.676955580711365,"alluvium","Quaternary"
