"","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","NDYI","Geomorphon_Class","WIP","Temp","Precip","NDVI","SCI","MNDWI","EVI","GEOLOGIC_AGE","x","y"
"1","CC_S26_R3",0,15,0.141429787390659,"COL",0.192865612149651,10,0.208892761684635,6.56995431668623,627.746963702897,0.54505919829627,0.507578057296872,-0.520579368015557,0.286473587120058,"Pleistocene",843072.837389409,5393443.94619593
"2","CC_S26_R3",15,30,0.185836984133105,"COL",0.192865612149651,10,0.208892761684635,6.56995431668623,627.746963702897,0.54505919829627,0.507578057296872,-0.520579368015557,0.286473587120058,"Pleistocene",843072.837389409,5393443.94619593
"3","CC_S26_R3",30,60,0.0982778904943272,"COL",0.192865612149651,10,0.208892761684635,6.56995431668623,627.746963702897,0.54505919829627,0.507578057296872,-0.520579368015557,0.286473587120058,"Pleistocene",843072.837389409,5393443.94619593
"4","CC_S26_R3",60,100,0.0531349294383496,"COL",0.192865612149651,10,0.208892761684635,6.56995431668623,627.746963702897,0.54505919829627,0.507578057296872,-0.520579368015557,0.286473587120058,"Pleistocene",843072.837389409,5393443.94619593
"5","CC_S27_R3",0,15,0.33172115699283,"COL",0.362428660495899,10,0.125544635403129,6.03140680469126,664.321524962448,0.739580477520929,0.609777343055769,-0.542286160222278,0.389890476070913,"Pleistocene",839193.830174613,5395377.10891805
"6","CC_S27_R3",15,30,0.893538318086838,"COL",0.362428660495899,10,0.125544635403129,6.03140680469126,664.321524962448,0.739580477520929,0.609777343055769,-0.542286160222278,0.389890476070913,"Pleistocene",839193.830174613,5395377.10891805
"7","CC_S27_R3",30,60,0.693572347892259,"COL",0.362428660495899,10,0.125544635403129,6.03140680469126,664.321524962448,0.739580477520929,0.609777343055769,-0.542286160222278,0.389890476070913,"Pleistocene",839193.830174613,5395377.10891805
"8","CC_S27_R3",60,100,0.0972590502395822,"COL",0.362428660495899,10,0.125544635403129,6.03140680469126,664.321524962448,0.739580477520929,0.609777343055769,-0.542286160222278,0.389890476070913,"Pleistocene",839193.830174613,5395377.10891805
"9","CC_S3_R3",0,15,0.469893470207945,"COL",0.338045291340363,10,0.852686417342497,6.88305813534145,622.711089767273,0.767815250664596,0.639390222314179,-0.551484167697774,0.513930408782623,"Quaternary",846145.478074087,5390550.90436189
"10","CC_S3_R3",15,30,0.34374281721849,"COL",0.338045291340363,10,0.852686417342497,6.88305813534145,622.711089767273,0.767815250664596,0.639390222314179,-0.551484167697774,0.513930408782623,"Quaternary",846145.478074087,5390550.90436189
"11","CC_S3_R3",30,60,0.130816765892891,"COL",0.338045291340363,10,0.852686417342497,6.88305813534145,622.711089767273,0.767815250664596,0.639390222314179,-0.551484167697774,0.513930408782623,"Quaternary",846145.478074087,5390550.90436189
"12","CC_S3_R3",60,100,0.0537245152948459,"COL",0.338045291340363,10,0.852686417342497,6.88305813534145,622.711089767273,0.767815250664596,0.639390222314179,-0.551484167697774,0.513930408782623,"Quaternary",846145.478074087,5390550.90436189
"13","CC_S6_R2",0,15,0.175774835180655,"COL",0.29182775629916,10,0.807375631353521,6.82023278977931,623.743198312851,0.717335991506285,0.615701949662544,-0.557084818293162,0.434386607055902,"Quaternary",846040.934048263,5390499.74630309
"14","CC_S6_R2",15,30,0.227331459492509,"COL",0.29182775629916,10,0.807375631353521,6.82023278977931,623.743198312851,0.717335991506285,0.615701949662544,-0.557084818293162,0.434386607055902,"Quaternary",846040.934048263,5390499.74630309
"15","CC_S6_R2",30,60,0.0716314595807564,"COL",0.29182775629916,10,0.807375631353521,6.82023278977931,623.743198312851,0.717335991506285,0.615701949662544,-0.557084818293162,0.434386607055902,"Quaternary",846040.934048263,5390499.74630309
"16","CC_S6_R2",60,100,0.0550188950555968,"COL",0.29182775629916,10,0.807375631353521,6.82023278977931,623.743198312851,0.717335991506285,0.615701949662544,-0.557084818293162,0.434386607055902,"Quaternary",846040.934048263,5390499.74630309
"17","CC-07-R1",0,15,0.371364759277466,"COL",0.333267613038906,10,0.709563381779256,6.86043387388286,633.520328676238,0.803270460446953,0.659209155702727,-0.554919525237765,0.500401912423609,"Quaternary",845330.021857356,5389772.81657437
"18","CC-07-R1",15,30,0.530563311689592,"COL",0.333267613038906,10,0.709563381779256,6.86043387388286,633.520328676238,0.803270460446953,0.659209155702727,-0.554919525237765,0.500401912423609,"Quaternary",845330.021857356,5389772.81657437
"19","CC-07-R1",30,60,0.372899947072434,"COL",0.333267613038906,10,0.709563381779256,6.86043387388286,633.520328676238,0.803270460446953,0.659209155702727,-0.554919525237765,0.500401912423609,"Quaternary",845330.021857356,5389772.81657437
"20","CC-07-R1",60,100,0.0147628382515113,"COL",0.333267613038906,10,0.709563381779256,6.86043387388286,633.520328676238,0.803270460446953,0.659209155702727,-0.554919525237765,0.500401912423609,"Quaternary",845330.021857356,5389772.81657437
"21","CC-09-R2",0,15,0.141006086964462,"COL",0.263268257411424,10,0.682265508432611,6.61145074973337,626.780779098578,0.739685733713788,0.53123388269919,-0.426669235507696,0.376574704963186,"Quaternary",845560.2346583,5392512.19791004
"22","CC-09-R2",15,30,0.0834682353685924,"COL",0.263268257411424,10,0.682265508432611,6.61145074973337,626.780779098578,0.739685733713788,0.53123388269919,-0.426669235507696,0.376574704963186,"Quaternary",845560.2346583,5392512.19791004
"23","CC-09-R2",30,60,0.0861031174246003,"COL",0.263268257411424,10,0.682265508432611,6.61145074973337,626.780779098578,0.739685733713788,0.53123388269919,-0.426669235507696,0.376574704963186,"Quaternary",845560.2346583,5392512.19791004
