"","sample_ID","site","depth_cm","BD_g_cm3","carbon_perc","carbon_stock_g_cm2","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"1","H-C-01-DNR-WET","HOH",13,0.07,39.56,0.376389509,"f",0.582455039024353,3065.88403320312,10.1813697814941,0.851915717124939,58.1438827514648,0.842225611209869,-0.478577733039856,0.462783813476562,0.650823652744293,0.462757021188736,-0.00694743497297168,0.412464737892151,2.48559212684631,0.514220714569092,0.418742775917053,-0.704430937767029,"alpine glacial drift, Fraser-age","Pleistocene"
"2","H-C-01-DNR-WET","HOH",40,0.16,38.313,1.678087199,"f",0.582455039024353,3065.88403320312,10.1813697814941,0.851915717124939,58.1438827514648,0.842225611209869,-0.478577733039856,0.462783813476562,0.650823652744293,0.462757021188736,-0.00694743497297168,0.412464737892151,2.48559212684631,0.514220714569092,0.418742775917053,-0.704430937767029,"alpine glacial drift, Fraser-age","Pleistocene"
"3","H-C-01-DNR-WET","HOH",76,0.51,12.136,2.105378127,"f",0.582455039024353,3065.88403320312,10.1813697814941,0.851915717124939,58.1438827514648,0.842225611209869,-0.478577733039856,0.462783813476562,0.650823652744293,0.462757021188736,-0.00694743497297168,0.412464737892151,2.48559212684631,0.514220714569092,0.418742775917053,-0.704430937767029,"alpine glacial drift, Fraser-age","Pleistocene"
"4","H-C-01-DNR-WET","HOH",104,0.88,2.374,0.352215273,"f",0.582455039024353,3065.88403320312,10.1813697814941,0.851915717124939,58.1438827514648,0.842225611209869,-0.478577733039856,0.462783813476562,0.650823652744293,0.462757021188736,-0.00694743497297168,0.412464737892151,2.48559212684631,0.514220714569092,0.418742775917053,-0.704430937767029,"alpine glacial drift, Fraser-age","Pleistocene"
"5","H-C-02-DNR","HOH",11,0.38,15.654,0.649612181,"g",0.694736897945404,3050.06127929688,10.2106876373291,0.911289155483246,57.8620948791504,0.862784206867218,-0.444375276565552,0.557538568973541,0.649125158786774,0.542732000350952,-0.0850683823227882,0.343385636806488,2.91487646102905,0.575625956058502,0.488869905471802,-0.721775770187378,"glacial outwash, alpine, Fraser-age","Pleistocene"
"6","H-C-02-DNR","HOH",30,0.49,11.291,0.888799073,"g",0.694736897945404,3050.06127929688,10.2106876373291,0.911289155483246,57.8620948791504,0.862784206867218,-0.444375276565552,0.557538568973541,0.649125158786774,0.542732000350952,-0.0850683823227882,0.343385636806488,2.91487646102905,0.575625956058502,0.488869905471802,-0.721775770187378,"glacial outwash, alpine, Fraser-age","Pleistocene"
"7","H-C-02-DNR","HOH",45,0.7,5.152,0.32683123,"g",0.694736897945404,3050.06127929688,10.2106876373291,0.911289155483246,57.8620948791504,0.862784206867218,-0.444375276565552,0.557538568973541,0.649125158786774,0.542732000350952,-0.0850683823227882,0.343385636806488,2.91487646102905,0.575625956058502,0.488869905471802,-0.721775770187378,"glacial outwash, alpine, Fraser-age","Pleistocene"
"8","H-C-02-DNR","HOH",75,0.57,2.693,0.205523835,"g",0.694736897945404,3050.06127929688,10.2106876373291,0.911289155483246,57.8620948791504,0.862784206867218,-0.444375276565552,0.557538568973541,0.649125158786774,0.542732000350952,-0.0850683823227882,0.343385636806488,2.91487646102905,0.575625956058502,0.488869905471802,-0.721775770187378,"glacial outwash, alpine, Fraser-age","Pleistocene"
"9","H-C-05-2020","HOH",9,0.72,3.296,0.214194242,"i",0.694724440574646,2977.935546875,10.4148683547974,0.826951801776886,44.0128898620605,0.840615749359131,-0.587310016155243,0.625150322914124,0.692398190498352,0.578655660152435,0.116926446557045,0.452675133943558,2.23511409759521,0.354002892971039,0.378328740596771,-0.710257887840271,"alluvium","Quaternary"
"10","H-C-05-2020","HOH",27,0.95,0.472,0.08030851,"i",0.694724440574646,2977.935546875,10.4148683547974,0.826951801776886,44.0128898620605,0.840615749359131,-0.587310016155243,0.625150322914124,0.692398190498352,0.578655660152435,0.116926446557045,0.452675133943558,2.23511409759521,0.354002892971039,0.378328740596771,-0.710257887840271,"alluvium","Quaternary"
"11","H-C-05-2020","HOH",44,0.76,0.257,0.013350649,"i",0.694724440574646,2977.935546875,10.4148683547974,0.826951801776886,44.0128898620605,0.840615749359131,-0.587310016155243,0.625150322914124,0.692398190498352,0.578655660152435,0.116926446557045,0.452675133943558,2.23511409759521,0.354002892971039,0.378328740596771,-0.710257887840271,"alluvium","Quaternary"
"12","H-C-05-2020","HOH",77,0.44,0.405,0.008801092,"i",0.694724440574646,2977.935546875,10.4148683547974,0.826951801776886,44.0128898620605,0.840615749359131,-0.587310016155243,0.625150322914124,0.692398190498352,0.578655660152435,0.116926446557045,0.452675133943558,2.23511409759521,0.354002892971039,0.378328740596771,-0.710257887840271,"alluvium","Quaternary"
"13","H-W-06-TNC","HOH",20,0.69,5.007,0.521737815,"b",0.758296012878418,2684.564453125,10.1214027404785,0.529337346553802,64.602653503418,0.906675100326538,-0.537366151809692,0.677432775497437,0.751788973808289,0.612365067005157,-0.00969969946891069,0.340612143278122,2.93912029266357,0.336538523435593,0.491962850093842,-0.757720947265625,"alluvium","Quaternary"
